MOLECULE_NAME,SMILES,CHILOGD_10.5
306-089-13,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)CNCc2ccccc2)C1=O,2.23
306-091-01,CN1c2ccccc2OC[C@H](NC(=O)C(=O)c2ccccc2)C1=O,2.9
306-092-01,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](O)Cc2ccccc2)C1=O,2.35
306-092-02,CO[C@@H](Cc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.04
306-093-01,CN1c2ccccc2OC[C@H](NC(=O)C(=O)CCc2ccccc2)C1=O,3.51
306-094-04,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)COCc2ccccc2)C1=O,2.2
306-095-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2ccncc2)C1=O,0.85
306-096-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)Cc2ccncc2)C1=O,0.82
306-097-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2cccnc2)C1=O,0.88
306-098-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)Cc2cccnc2)C1=O,0.84
306-099-01,CN1c2ccccc2OC[C@H](NC(=O)[C@H](O)Cc2ccccc2)C1=O,2.23
306-099-02,CO[C@H](Cc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,2.92
306-100-01,CN1c2ccccc2OC[C@H](NC(=O)[C@H](O)CCc2ccccc2)C1=O,2.55
306-100-02,CO[C@H](CCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.33
306-101-01,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](O)CCc2ccccc2)C1=O,2.67
306-101-02,CO[C@@H](CCc1ccccc1)C(=O)N[C@H]1COc2ccccc2N(C)C1=O,3.4
306-102-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)Cc2cccc(c2)C#N)C1=O,1.8
306-103-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)Cc2cccc(c2)C#N)C1=O,1.85
306-104-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)c2ccccc2)C1=O,1.76
306-105-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)c2ccccc2)C1=O,1.76
306-106-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)CCc2ccccc2)C1=O,2.34
306-107-02,CN1c2ccccc2OC[C@H](NC(=O)[C@@H]2C[C@H](CN2)OCc2ccccc2)C1=O,2.76
306-108-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H]2Cc3c(CN2)[nH]c2ccccc32)C1=O,2.39
306-109-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)CCC(=O)OCc2ccccc2)C1=O,0.53
306-110-02,CN1c2ccccc2OC[C@H](NC(=O)[C@H](N)CCc2ccccc2)C1=O,2.32
306-112-02,CN1c2ccccc2OCC(NC(=O)[C@H](N)Cc2ccc(cc2)C#N)C1=O,1.83
306-113-02,CN1c2ccccc2OCC(NC(=O)[C@@H](N)Cc2ccc(cc2)C#N)C1=O,1.76
306-114-05,CN1c2ccccc2OC[C@H](NC(=O)[C@@H](N)COC(=O)c2ccccc2)C1=O,1.47
306-115-03,C[C@@H](N(C)Cc1ccccc1)C(=O)NC1COc2ccccc2N(C)C1=O,3.67
306-116-03,C[C@H](NCc1ccccc1)C(=O)N[C@@H]1COc2ccccc2N(C)C1=O,3.02
